MODEL,SN,LSET,RUN,JOB,EYE,DATETIME,LTYPE,INSDRSPH,INSDRCYL,INSDRAX,INSDRPRVM,INSDRPRVA,INSPRSPH,INSPRCYL,INSPRAX,INSPRPRVM,INSPRPRVA,INSNRSPH,INSNRCYL,INSNRAX,INSNRPRVM,INSNRPRVA,INSCTHK,INSDIA,INSGMC,INSAV,INSDOT,INSDBPH,INSDBPV,INSDBPA,FLAG,COMMENT
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS014,R,2018-05-02T13:36:19Z,NA,-3.5145,0.121,5.168,1.871673316,86.93733553,-3.285,0.16,175.512,0.713697415,-82.75549315,-2.469,0.198,7.098,4.298379346,-80.46536234,1.217,69.878,0.046,-0.017,0.137,0.056,-0.376,-0.344,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS016,R,2018-05-02T13:40:25Z,NA,-4.9335,0.089,3.335,3.090420845,89.05442736,-4.712,0.056,175.08,0.692215284,-86.60437623,-3.875,0.162,10.133,6.427319815,-81.82451286,1.317,70.074,0.029,-0.004,0.113,0.091,-0.081,-0.752,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS016,R,2018-05-02T13:39:54Z,NA,-4.9215,0.057,7.5,3.115296776,89.20912936,-4.704,0.056,175.609,0.670862132,-87.09494495,-3.8765,0.163,10.641,6.403983838,-81.89393801,1.317,70.068,0.03,-0.004,0.118,0.132,-0.101,-0.61,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS016,R,2018-05-02T13:39:12Z,NA,-4.923,0.09,9.563,3.063223466,89.3079201,-4.741,0.064,171.795,0.715761133,-87.35745471,-3.883,0.166,9.047,6.439917158,-81.98439594,1.322,70.053,0.029,-0.004,0.106,0.119,-0.134,-0.583,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS017,R,2018-05-02T13:43:02Z,NA,-2.916,0.036,177.46,1.496208876,90.95739383,-2.68,0.08,162.637,0.678188764,-91.35186188,-1.9135,0.029,5.55,3.59532057,-82.31163119,1.234,69.77,0.05,0.025,0.128,0.08,-0.798,-0.441,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS017,R,2018-05-02T13:42:23Z,NA,-2.917,0.036,177.805,1.490052684,87.84617048,-2.6785,0.079,161.382,0.68798328500000006,-84.66231309,-1.914,0.032,5.845,3.614797643,-81.07187047,1.236,69.793,0.05,0.025,0.127,0.086,-0.797,-0.495,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS017,R,2018-05-02T13:41:46Z,NA,-2.9165,0.035,178.561,1.509717854,87.26646837,-2.68,0.082,160.602,0.667690048,-83.20493898,-1.915,0.032,5.344,3.590824418,-80.73703965,1.237,69.762,0.05,0.024,0.13,0.083,-0.791,-0.501,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS018,R,2018-05-02T13:45:19Z,NA,-4.012,0.1,160.266,2.321593418,87.87707674,-3.7965,0.095,145.995,0.706614463,-81.044235,-2.928,0.11,2.312,5.094996173,-80.90927891,1.364,69.894,0.033,-0.046,0.122,-0.196,0.376,0.369,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS018,R,2018-05-02T13:44:49Z,NA,-4.0125,0.097,160.623,2.317194209,89.25818846,-3.7965,0.095,146.163,0.702398747,-85.26345492,-2.93,0.114,2.885,5.08901739,-81.49094598,1.364,69.893,0.032,-0.047,0.12,-0.214,0.378,0.432,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS018,R,2018-05-02T13:44:16Z,NA,-4.013,0.1,159.826,2.331513671,87.93529528,-3.7965,0.097,145.541,0.694141196,-81.21618444,-2.9305,0.113,2.606,5.085793252,-80.91550774,1.364,69.887,0.033,-0.047,0.119,-0.2,0.377,0.363,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS019,R,2018-05-02T13:48:00Z,NA,-4.9415,0.149,165.375,3.066177588,89.38333734,-4.6895,0.093,174.702,0.665818294,-87.15908123,-3.8695,0.145,0.253,6.371741128,-81.82538867,1.16,70.027,0.104,0.029,0.155,-0.021,-0.765,0.005,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS019,R,2018-05-02T13:47:17Z,NA,-4.9425,0.145,164.788,3.081912718,88.6055388,-4.71,0.112,176.767,0.65478317,-83.07034642,-3.8705,0.147,0.018,6.365982171,-81.43585666,1.162,70.03,0.107,0.029,0.18,0.024,-0.629,-0.135,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,FBS019,R,2018-05-02T13:46:36Z,NA,-4.9485,0.139,165.605,3.077146243,89.44139781,-4.694,0.094,174.048,0.654687712,-87.37359436,-3.872,0.154,179.519,6.363396106,-81.84188389,1.162,70.025,0.104,0.028,0.161,-0.03,-0.746,-0.029,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL003,R,2018-05-02T13:50:40Z,NA,-9.951,4.124,1.791,3.532998726,77.11235076,-9.6465,3.957,1.596,1.341169639,-59.53445508,-7.114,4.084,0.937,7.461205332,-70.12973842,1.126,64.766,0.077,0.044,0.213,0.198,-0.183,-1.487,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL003,R,2018-05-02T13:50:01Z,NA,-9.9485,4.123,1.795,3.513590756,76.60448064,-9.6465,3.957,1.608,1.379369784,-59.21433496,-7.112,4.086,0.954,7.496134471,-69.99860898,1.127,64.772,0.076,0.044,0.21,0.197,-0.19,-1.498,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL003,R,2018-05-02T13:49:15Z,NA,-9.95,4.124,1.804,3.582115576,78.01248806,-9.656,3.962,1.618,1.270994099,-60.02586971,-7.125,4.092,0.935,7.395500862,-70.30813233,1.123,64.763,0.078,0.042,0.215,0.195,-0.161,-1.479,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL004,R,2018-05-02T13:53:55Z,NA,-6.808,3.838,90.767,3.450440696,92.90718374,-6.5245,3.833,90.924,1.858974179,-95.30883615,-4.4005,4.119,90.767,9.115029457,-88.29628146,1.456,64.757,0.38,-0.106,0.252,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL004,R,2018-05-02T13:52:49Z,NA,-6.8115,3.839,90.736,3.446395218,92.89395302,-6.5255,3.831,90.905,1.862592011,-95.17493392,-4.4025,4.121,90.784,9.118486278,-88.20263141,1.458,64.761,0.377,-0.107,0.251,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL004,R,2018-05-02T13:52:04Z,NA,-6.821,3.85,90.708,3.427378298,93.49604004,-6.525,3.836,90.931,1.891815266,-96.12948497,-4.395,4.082,90.712,9.145551104,-88.6466601,1.453,64.754,0.379,-0.107,0.257,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL005,R,2018-05-02T14:01:05Z,NA,-2.39,0.43,89.653,0.204943895,-76.16717265,-1.9845,0.415,91.249,1.965016285,-89.76673603,0.0015,0.711,96.138,3.024553686,-86.22750867,1.505,64.466,0.265,2.789,0.274,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL005,R,2018-05-02T13:59:50Z,NA,-2.389,0.43,89.705,0.222596047,-78.33670597,-1.986,0.416,91.208,1.983002269,-89.91331961,-0.0015,0.711,96.325,3.036268269,-86.31772594,1.5,64.441,0.267,2.789,0.275,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL005,R,2018-05-02T13:58:48Z,NA,-2.389,0.43,89.717,0.195002564,-90.293821929999993,-1.9855,0.415,91.385,1.962367957,-91.10956546,0,0.712,96.186,3.018778892,-87.13285575,1.5,64.441,0.265,2.789,0.273,NA,NA,NA,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL006,R,2018-05-02T14:04:08Z,NA,0.064,0.054,74.216,2.004857352,-86.94064889,0.671,0.216,154.26,1.745325185,-87.76712133,2.257,0.316,107.931,0.997382575,108.471281,1.932,64.239,0.154,0.055,0.26,0.136,-0.7,-0.552,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL006,R,2018-05-02T14:03:26Z,NA,0.0685,0.053,76.177,1.979825497,-87.53935958,0.6645,0.213,153.945,1.716513909,-88.59793567,2.2605,0.315,108.18,1.02206898,109.9064759,1.936,64.239,0.134,0.057,0.255,0.088,-0.674,-0.337,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL006,R,2018-05-02T14:02:42Z,NA,0.066,0.05,69.166,1.9684219570000001,-85.74640346,0.6715,0.221,153.441,1.700544913,-86.86502419,2.2475,0.339,108.02,1.023535539,106.5759239,1.933,64.248,0.137,0.056,0.261,0.095,-0.646,-0.334,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL007,R,2018-05-02T13:56:34Z,NA,-1.8575,1.865,1.9,2.109982464,-96.83198893,-1.2215,2.061,177.76,1.853105502,-99.44199014,0.7075,1.711,178.829,0.935487573,100.0966784,1.874,64.388,0.156,0.045,0.261,0.095,-0.547,-0.374,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL007,R,2018-05-02T13:55:53Z,NA,-1.857,1.862,1.887,2.118766858,-96.99420429,-1.222,2.064,177.731,1.860668966,-99.52813285,0.7105,1.705,178.728,0.929405186,100.10083,1.876,64.387,0.153,0.045,0.259,0.094,-0.545,-0.376,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL007,R,2018-05-02T13:54:54Z,NA,-1.8565,1.863,1.886,2.113835613,-96.79217875,-1.2245,2.063,177.784,1.858861211,-99.38124572,0.708,1.71,178.796,0.93479463,99.85530504,1.874,64.38,0.153,0.045,0.261,0.094,-0.543,-0.372,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL009,R,2018-05-02T14:28:59Z,NA,1.641,0.432,127.893,3.390299249,-95.07661523,2.1885,0.693,139.854,1.749873424,-95.77249575,3.8745,0.705,121.123,3.265020674,104.1469022,3.156,64.222,0.254,0.072,0.345,0.085,-0.966,-0.178,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL009,R,2018-05-02T14:28:11Z,NA,1.6425,0.429,127.903,3.398384616,-95.45391889,2.1905,0.695,139.851,1.752449999,-96.55321307,3.882,0.702,121.324,3.283724258,104.2986198,3.155,64.227,0.254,0.073,0.34,0.086,-0.971,-0.189,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL009,R,2018-05-02T14:27:33Z,NA,1.6485,0.415,127.418,3.343999103,-94.64838722,2.186,0.694,139.856,1.709317993,-95.3036792,3.8735,0.709,121.316,3.277402935,103.0313062,3.158,64.222,0.256,0.072,0.345,0.1,-0.969,-0.189,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL010,R,2018-05-02T14:12:52Z,NA,0.327,3.706,134.192,3.899852561,-114.5606813,0.8685,4.017,136.597,1.616042079,-99.47397954,2.732,3.87,133.605,3.760834083,72.56236247,4.664,64.222,0.303,0.1,0.354,0.205,-1.197,0.035,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL010,R,2018-05-02T14:12:02Z,NA,0.309,3.728,134.184,3.862035862,-114.29539,0.87,4.01,136.642,1.588087214,-98.65564334,2.731,3.892,133.488,3.792649733,72.44410356,4.665,64.229,0.301,0.1,0.348,0.203,-1.198,0.043,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL010,R,2018-05-02T14:11:21Z,NA,0.322,3.712,134.166,3.858026698,-114.1268499,0.871,4.012,136.628,1.584060921,-98.16590901,2.729,3.89,133.514,3.794381636,72.26223162,4.665,64.203,0.299,0.1,0.35,0.205,-1.198,0.043,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL011,R,2018-05-02T14:15:55Z,NA,5.729,0.31,139.52,6.011238142,-88.83708399,6.2495,0.835,151.864,1.260175385,-79.9920202,8.6485,0.525,141.14,9.921222757,102.6340421,6.842,63.937,0.389,0.088,0.468,0.046,-0.985,0.009,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL011,R,2018-05-02T14:15:08Z,NA,5.731,0.306,139.644,6.029467058,-88.73604803,6.248,0.834,152.078,1.274558747,-79.69515353,8.6455,0.523,141.594,9.908844786,102.5789819,6.844,63.931,0.392,0.089,0.464,0.05,-0.991,0.027,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL011,R,2018-05-02T14:14:14Z,NA,5.726,0.308,139.125,5.997901716,-89.00647593,6.248,0.836,151.852,1.235694542,-81.15513102,8.649,0.522,141.508,9.945124484,102.7212739,6.842,63.933,0.391,0.088,0.463,0.049,-0.983,0.014,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL012,R,2018-05-02T14:18:18Z,NA,8.869,0.32,81.033,8.38150255,-87.27141293,9.4765,0.321,133.877,1.5787115,-77.45150978,12.271,0.102,116.97,13.77691264,108.1824419,9.285,63.966,0.342,0.088,0.435,-0.162,-0.745,0.733,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL012,R,2018-05-02T14:17:34Z,NA,8.867,0.324,81.239,8.368952682,-87.34956361,9.4775,0.319,134.56,1.550196117,-77.25471053,12.276,0.092,116.323,13.79624257,108.1473363,9.289,63.963,0.343,0.089,0.43,-0.156,-0.75,0.754,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL012,R,2018-05-02T14:16:54Z,NA,8.877,0.312,81.55,8.422267747,-87.31187152,9.4865,0.325,134.645,1.596205501,-77.113001,12.273,0.108,120.436,13.76110141,108.1821517,9.291,63.963,0.34,0.089,0.429,-0.152,-0.752,0.726,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL013,R,2018-05-02T14:23:27Z,NA,3.179,3.95,89.563,4.257714058,-87.95411121,4.155,3.588,91.273,1.439115353,-86.89304838,6.014,3.798,91.046,6.627814496,115.8227491,6.837,63.899,0.31,0.106,0.396,0.247,-1.173,-0.317,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL013,R,2018-05-02T14:22:40Z,NA,3.17,3.952,89.695,4.240203061,-88.63510756,4.17,3.584,91.513,1.416276809,-88.86718024,6.021,3.79,91.137,6.670846723,116.1117955,6.833,63.911,0.315,0.108,0.406,0.212,-1.207,-0.397,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL013,R,2018-05-02T14:21:42Z,NA,3.174,3.956,89.645,4.298094694,-88.70683107,4.1515,3.591,91.281,1.497065463,-89.46418335,6.0095,3.803,90.977,6.612053009,116.5650512,6.835,63.895,0.309,0.106,0.397,0.255,-1.167,-0.294,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL014,R,2018-05-02T14:31:53Z,NA,-0.0115,0.033,113.307,1.076569087,-88.13694659,0.214,0.17,130.777,0.939278979,-87.00965502,1.4805,0.021,137.294,0.550600581,109.1918278,1.897,69.198,0.03,0.006,0.11,0.014,-0.205,-0.045,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL014,R,2018-05-02T14:30:57Z,NA,-0.012,0.034,114.229,1.067573885,-88.1212432,0.2125,0.173,130.786,0.932507373,-86.7417806,1.478,0.026,143.12,0.561936829,108.4671918,1.897,69.197,0.03,0.006,0.108,0.011,-0.208,-0.031,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL014,R,2018-05-02T14:30:11Z,NA,-0.009,0.03,112.553,1.069340919,-88.55317379,0.2125,0.171,130.945,0.932991425,-87.35839848,1.481,0.022,139.001,0.562573551,108.6603948,1.897,69.19,0.03,0.006,0.108,0.015,-0.212,-0.037,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL015,R,2018-05-02T14:25:58Z,NA,-2.03,0.076,98.228,0.553008137,89.68917604,-1.912,0.092,101.346,0.959018769,-89.64153265,-0.556,0.07,53.109,2.269381634,-84.25926045,1.293,69.753,0.036,0.017,0.14,0.139,-0.306,-0.334,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL015,R,2018-05-02T14:25:00Z,NA,-2.031,0.078,97.75,0.537003724,90.21339112,-1.908,0.088,101.613,0.975000513,-90.05876488,-0.554,0.066,52.804,2.28641641,-84.52878204,1.293,69.75,0.037,0.017,0.142,0.19,-0.311,-0.309,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL015,R,2018-05-02T14:24:13Z,NA,-2.029,0.074,97.72,0.545880939,93.25551803,-1.909,0.09,100.967,0.962467662,-91.78619179,-0.5555,0.065,51.899,2.270468013,-85.35162033,1.292,69.749,0.037,0.017,0.144,0.136,-0.298,-0.323,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL016,L,2018-05-03T11:28:00Z,NA,7.068,0.028,35.843,7.004068603,-90.25359189,7.421,0.464,38.377,1.5364088,-93.20879036,7.421,0.464,38.377,1.5364088,-93.20879036,10.059,68.655,0.091,0.046,0.115,-0.092,-0.497,0.104,test,Made by Essilor in Creteil
PROMAPPER,002,2018_ESS_RR_BATCH1,20180503ESS,PAL016,L,2018-05-03T11:28:00Z,NA,7.0685,0.027,30.026,7.005034547,-90.17994333,7.4125,0.473,38.003,1.543023655,-92.93472259,7.4125,0.473,38.003,1.543023655,-92.93472259,10.06,68.654,0.085,0.046,0.117,-0.081,-0.513,0.029,test,Made by Essilor in Creteil
